ID	Age	Depth	Post	Pre
1	Young	Deep	20	15
2	Young	Deep	15	12
3	Young	Deep	15	10
4	Young	Deep	14	9
5	Young	Deep	18	16
6	Young	Deep	17	12
7	Young	Deep	15	11
8	Young	Deep	15	8
9	Young	Deep	14	8
10	Young	Deep	16	15
11	Young	Deep	15	9
12	Young	Deep	11	9
13	Young	Deep	16	12
14	Young	Deep	14	11
15	Young	Deep	13	8
16	Young	Deep	15	8
17	Young	Deep	17	13
18	Young	Deep	13	8
19	Young	Deep	18	15
20	Young	Deep	10	5
21	Young	Shallow	17	16
22	Young	Shallow	16	15
23	Young	Shallow	13	14
24	Young	Shallow	13	14
25	Young	Shallow	16	13
26	Young	Shallow	13	11
27	Young	Shallow	11	10
28	Young	Shallow	9	6
29	Young	Shallow	14	13
30	Young	Shallow	15	15
31	Young	Shallow	18	16
32	Young	Shallow	21	22
33	Young	Shallow	13	15
34	Young	Shallow	9	8
35	Young	Shallow	13	13
36	Young	Shallow	12	13
37	Young	Shallow	14	13
38	Young	Shallow	12	11
39	Young	Shallow	14	15
40	Young	Shallow	9	4
41	Old	Deep	12	8
42	Old	Deep	18	16
43	Old	Deep	14	12
44	Old	Deep	15	14
45	Old	Deep	17	17
46	Old	Deep	14	6
47	Old	Deep	13	6
48	Old	Deep	15	15
49	Old	Deep	18	15
50	Old	Deep	13	8
51	Old	Deep	13	11
52	Old	Deep	13	13
53	Old	Deep	14	11
54	Old	Deep	12	8
55	Old	Deep	13	9
56	Old	Deep	13	6
57	Old	Deep	9	2
58	Old	Deep	20	16
59	Old	Deep	16	14
60	Old	Deep	16	14
61	Old	Shallow	12	10
62	Old	Shallow	14	12
63	Old	Shallow	15	14
64	Old	Shallow	12	9
65	Old	Shallow	15	14
66	Old	Shallow	16	14
67	Old	Shallow	13	9
68	Old	Shallow	11	7
69	Old	Shallow	13	14
70	Old	Shallow	17	18
71	Old	Shallow	14	11
72	Old	Shallow	14	8
73	Old	Shallow	18	17
74	Old	Shallow	16	16
75	Old	Shallow	12	15
76	Old	Shallow	17	12
77	Old	Shallow	12	10
78	Old	Shallow	15	14
79	Old	Shallow	13	9
80	Old	Shallow	14	11
